OBJECTID,Nome,Flg_Ativo,Status,X,Y,Flg_TransCarioca,Flg_TransBrasil,Flg_TransOeste,Flg_TransOlimpica,ChaveGeo,Data_Inc,Integra_Trem,Integra_Metro,Integra_Aeroporto
122,Correia Andrade,Não,Em Construção,673650.1937,7475658.3968,Não,Sim,Não,Não,,,,,
123,Ponto Chique,Não,Em Construção,675299.3735,7476000.6733,Não,Sim,Não,Não,,,,,
124,Terminal Margaridas,Não,Em Construção,672129.0956,7475458.0375,Não,Sim,Não,Não,,,,,
125,Terminal Missões,Não,Em Construção,675515.4976,7476115.9835,Não,Sim,Não,Não,,,,,
126,Brás de Pina,Não,Em Construção,676152.2776,7475477.6188,Não,Sim,Não,Não,,,,,
127,Marinha do Brasil,Não,Em Construção,677394.4266,7474403.9889,Não,Sim,Não,Não,,,,,
128,Marinha Mercante,Não,Em Construção,678789.9309,7473521.051,Não,Sim,Não,Não,,,,,
129,Piscinão de Ramos,Não,Em Construção,679508.147,7472846.4986,Não,Sim,Não,Não,,,,,
130,Rubens Vaz,Não,Em Construção,679842.4079,7471719.637,Não,Sim,Não,Não,,,,,
131,Nova Holanda,Não,Em Construção,679813.587,7470847.0187,Não,Sim,Não,Não,,,,,
132,Joana Nascimento,Não,Em Construção,679822.3207,7470221.6801,Não,Sim,Não,Não,,,,,
133,Fiocruz,Não,Em Construção,680286.4669,7469251.946,Não,Sim,Não,Não,,,,,
134,Parque Vitória,Não,Em Construção,680969.541,7468263.7505,Não,Sim,Não,Não,,,,,
135,São Francisco,Não,Em Construção,682168.254,7467952.7684,Não,Sim,Não,Não,,,,,
136,Caju,Não,Em Construção,682570.5248,7467664.0082,Não,Sim,Não,Não,,,,,
137,I.N.T.O,Não,Em Construção,683094.7585,7467130.1047,Não,Sim,Não,Não,,,,,
138,Terminal Rodoviária,Não,Em Construção,683615.824,7466528.7997,Não,Sim,Não,Não,,,,,
139,TerminalAmérico Fontenelle,Não,Em Construção,685412.4392,7466224.0723,Não,Sim,Não,Não,,,,,
140,Cidade Nova,Não,Em Construção,684259.1471,7465425.4939,Não,Sim,Não,Não,,,,,
141,Sambódromo,Não,Em Construção,684862.0985,7465643.4965,Não,Sim,Não,Não,,,,,
142,Terminal Presidente Vargas,Não,Em Construção,686559.3857,7466207.1893,Não,Sim,Não,Não,,,,,
143,Terminal Salvador Allende,Sim,Implantada,659823.2512,7454725.5556,Não,Não,Não,Sim,,,Não,Não,Não
144,Viva Viver,Sim,Implantada,660533.0373,7455240.0876,Não,Não,Não,Sim,,,Não,Não,Não
145,Tapebuias,Sim,Implantada,661060.2058,7455719.8117,Não,Não,Não,Sim,,,Não,Não,Não
146,CNEN,Sim,Implantada,662080.1531,7456681.4702,Não,Não,Não,Sim,,,Não,Não,Não
147,Olof Palme,Sim,Implantada,663014.678,7457650.3157,Não,Não,Não,Sim,,,Não,Não,Não
148,Riocentro,Sim,Implantada,663349.7739,7458125.8697,Não,Não,Não,Sim,,,Não,Não,Não
149,Morro do Outeiro,Sim,Implantada,663851.6557,7458715.8063,Não,Não,Não,Sim,,,Não,Não,Não
150,Terminal Centro Olímpico,Sim,Implantada,663896.3756,7458667.0087,Não,Não,Não,Sim,,,Não,Não,Não
151,Minha Praia,Sim,Implantada,664387.3508,7459316.0632,Não,Não,Não,Sim,,,Não,Não,Não
152,Bandeirantes,Sim,Implantada,664727.006,7459709.5008,Não,Não,Não,Sim,,,Não,Não,Não
153,Hospital Raphael de P. S.,Sim,Implantada,664944.18,7460565.029,Não,Não,Não,Sim,,,Não,Não,Não
154,Curicica,Sim,Implantada,664944.9274,7461375.618,Não,Não,Não,Sim,,,Não,Não,Não
155,Colonia,Sim,Implantada,664648.2995,7462372.2026,Não,Não,Não,Sim,,,Não,Não,Não
156,Outeiro Santo,Sim,Implantada,664551.8682,7463557.8539,Não,Não,Não,Sim,,,Não,Não,Não
157,Boiúna,Sim,Implantada,664373.5388,7464876.1409,Não,Não,Não,Sim,,,Não,Não,Não
158,Marechal Fontenelle,Sim,Implantada,664095.9896,7468251.3602,Não,Não,Não,Sim,,,Não,Não,Não
159,Marechal Mallet,Sim,Implantada,663615.1812,7469374.1856,Não,Não,Não,Sim,,,Não,Não,Não
160,Magalhães Bastos,Sim,Implantada,662717.0295,7470177.697,Não,Não,Não,Sim,,,Não,Não,Não
161,Vila Militar,Sim,Implantada,664022.2312,7470840.7974,Não,Não,Não,Sim,,,Sim,Não,Não
163,Terminal Sulacap,Sim,Implantada,664220.4598,7468441.5413,Não,Não,Não,Sim,,,Não,Não,Não
