data,regiao,casosAcumulado
2020-04-15,Sul,4806
2020-04-16,Brasil,30425
2020-04-16,Centro-Oeste,2642
2020-04-16,Nordeste,13032
2020-04-16,Norte,5754
2020-04-16,Sudeste,34454
2020-04-16,Sul,4992
2020-04-17,Brasil,33682
2020-04-17,Centro-Oeste,2772
2020-04-17,Nordeste,14943
2020-04-17,Norte,6316
2020-04-17,Sudeste,38206
2020-04-17,Sul,5204
2020-04-18,Brasil,36599
2020-04-18,Centro-Oeste,2944
2020-04-18,Nordeste,17049
2020-04-18,Norte,6832
2020-04-18,Sudeste,41037
2020-04-18,Sul,5476
2020-04-19,Brasil,38654
2020-04-19,Centro-Oeste,3124
2020-04-19,Nordeste,18698
2020-04-19,Norte,7382
2020-04-19,Sudeste,42506
2020-04-19,Sul,5632
2020-04-20,Brasil,40581
2020-04-20,Centro-Oeste,3254
2020-04-20,Nordeste,20215
2020-04-20,Norte,8218
2020-04-20,Sudeste,43668
2020-04-20,Sul,5842
2020-04-21,Brasil,43079
2020-04-21,Centro-Oeste,3312
2020-04-21,Nordeste,21751
2020-04-21,Norte,8862
2020-04-21,Sudeste,46303
2020-04-21,Sul,5982
2020-04-22,Brasil,45757
2020-04-22,Centro-Oeste,3484
2020-04-22,Nordeste,24119
2020-04-22,Norte,9814
2020-04-22,Sudeste,48162
2020-04-22,Sul,6154
2020-04-23,Brasil,49492
2020-04-23,Centro-Oeste,3646
2020-04-23,Nordeste,26981
2020-04-23,Norte,11028
2020-04-23,Sudeste,51166
2020-04-23,Sul,6382
2020-04-24,Brasil,52995
2020-04-24,Centro-Oeste,3856
2020-04-24,Nordeste,29668
2020-04-24,Norte,12288
2020-04-24,Sudeste,53931
2020-04-24,Sul,6700
2020-04-25,Brasil,58509
2020-04-25,Centro-Oeste,3966
2020-04-25,Nordeste,32868
2020-04-25,Norte,13926
2020-04-25,Sudeste,59832
2020-04-25,Sul,6890
2020-04-26,Brasil,61888
2020-04-26,Centro-Oeste,4246
2020-04-26,Nordeste,35360
2020-04-26,Norte,15200
2020-04-26,Sudeste,62176
2020-04-26,Sul,7114
2020-04-27,Brasil,66501
2020-04-27,Centro-Oeste,4514
2020-04-27,Nordeste,38828
2020-04-27,Norte,16110
2020-04-27,Sudeste,66088
2020-04-27,Sul,7502
2020-04-28,Brasil,71886
2020-04-28,Centro-Oeste,4750
2020-04-28,Nordeste,41402
2020-04-28,Norte,17490
2020-04-28,Sudeste,72327
2020-04-28,Sul,8066
2020-04-29,Brasil,78162
2020-04-29,Centro-Oeste,5042
2020-04-29,Nordeste,45028
2020-04-29,Norte,19188
2020-04-29,Sudeste,77898
2020-04-29,Sul,9422
2020-04-30,Brasil,85380
2020-04-30,Centro-Oeste,5378
2020-04-30,Nordeste,49053
2020-04-30,Norte,21545
2020-04-30,Sudeste,84995
2020-04-30,Sul,9916
2020-05-01,Brasil,91299
2020-05-01,Centro-Oeste,5710
2020-05-01,Nordeste,52916
2020-05-01,Norte,23714
2020-05-01,Sudeste,90403
2020-05-01,Sul,10160
2020-05-02,Brasil,96396
2020-05-02,Centro-Oeste,5976
